aro_accession	gene_name	card_short_name	gene_family	resistance_mechanism	drug_class_raw	canonical_class
ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Spyo_ErmA_MLSb	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	lincosamide antibiotic	lincosamide antibiotic
ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Spyo_ErmA_MLSb	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	macrolide antibiotic	macrolide antibiotic
ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Spyo_ErmA_MLSb	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	streptogramin antibiotic	streptogramin antibiotic
ARO:3002523	AAC(2')-Ia	AAC(2')-Ia	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002524	AAC(2')-Ib	AAC(2')-Ib	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002525	AAC(2')-Ic	AAC(2')-Ic	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002526	AAC(2')-Id	AAC(2')-Id	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002527	AAC(2')-Ie	AAC(2')-Ie	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004628	AAC(2')-IIa	AAC(2')-IIa	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003988	AAC(2')-IIb	AAC(2')-IIb	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002528	AAC(3)-Ia	AAC(3)-Ia	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002530	AAC(3)-Ib	AAC(3)-Ib	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002600	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	AAC_3Ib_AAC_6Ib	aminoglycoside bifunctional resistance protein	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002531	AAC(3)-Ic	AAC(3)-Ic	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002529	AAC(3)-Id	AAC(3)-Id	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002533	AAC(3)-IIa	AAC(3)-IIa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002534	AAC(3)-IIb	AAC(3)-IIb	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002535	AAC(3)-IIc	AAC(3)-IIc	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004623	AAC(3)-IId	AAC(3)-IId	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004621	AAC(3)-IIe	AAC(3)-IIe	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005085	AAC(3)-IIg	AAC(3)-IIg	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002536	AAC(3)-IIIa	AAC(3)-IIIa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002537	AAC(3)-IIIb	AAC(3)-IIIb	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002538	AAC(3)-IIIc	AAC(3)-IIIc	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002539	AAC(3)-IVa	AAC(3)-IVa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005061	AAC(3)-IVb	AAC(3)-IVb	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002543	AAC(3)-IXa	AAC(3)-IXa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002540	AAC(3)-VIa	AAC(3)-VIa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002541	AAC(3)-VIIa	AAC(3)-VIIa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002542	AAC(3)-VIIIa	AAC(3)-VIIIa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002544	AAC(3)-Xa	AAC(3)-Xa	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002583	AAC(6')-29a	AAC(6')-29a	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002584	AAC(6')-29b	AAC(6')-29b	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002599	AAC(6')-30/AAC(6')-Ib' bifunctional protein	AAC6_30_AAC6_Ib	aminoglycoside bifunctional resistance protein	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002585	AAC(6')-31	AAC(6')-31	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002586	AAC(6')-32	AAC(6')-32	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003989	AAC(6')-34	AAC(6')-34	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002588	AAC(6')-I30	AAC(6')-I30	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002587	AAC(6')-I33	AAC(6')-I33	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004641	AAC(6')-I-43	AAC(6')-I-43	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004638	AAC(6')-I-48	AAC(6')-I-48	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002545	AAC(6')-Ia	AAC(6')-Ia	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002571	AAC(6')-Iaa	AAC(6')-Iaa	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002572	AAC(6')-Iad	AAC(6')-Iad	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002573	AAC(6')-Iae	AAC(6')-Iae	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002574	AAC(6')-Iaf	AAC(6')-Iaf	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002575	AAC(6')-Iai	AAC(6')-Iai	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003677	AAC(6')-Iaj	AAC(6')-Iaj	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003199	AAC(6')-Iak	AAC(6')-Iak	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003200	AAC(6')-Ian	AAC(6')-Ian	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3007204	AAC(6')-Iap	AAC(6')-Iap	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002546	AAC(6')-Ib	AAC(6')-Ib	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003676	AAC(6')-Ib'	AAC(6')-Ib'	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002581	AAC(6')-Ib10	AAC(6')-Ib10	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002582	AAC(6')-Ib11	AAC(6')-Ib11	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002576	AAC(6')-Ib3	AAC(6')-Ib3	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002577	AAC(6')-Ib4	AAC(6')-Ib4	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002578	AAC(6')-Ib7	AAC(6')-Ib7	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002579	AAC(6')-Ib8	AAC(6')-Ib8	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002580	AAC(6')-Ib9	AAC(6')-Ib9	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002547	AAC(6')-Ib-cr1	AAC(6')-Ib-cr1	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002547	AAC(6')-Ib-cr1	AAC(6')-Ib-cr1	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3007770	aac(6')-Ib-cr10	aac(6')-Ib-cr10	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3007770	aac(6')-Ib-cr10	aac(6')-Ib-cr10	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3007771	aac(6')-Ib-cr11	aac(6')-Ib-cr11	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3007771	aac(6')-Ib-cr11	aac(6')-Ib-cr11	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3005112	AAC(6')-Ib-cr3	AAC(6')-Ib-cr3	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005112	AAC(6')-Ib-cr3	AAC(6')-Ib-cr3	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3005114	AAC(6')-Ib-cr4	AAC(6')-Ib-cr4	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005114	AAC(6')-Ib-cr4	AAC(6')-Ib-cr4	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3005115	AAC(6')-Ib-cr5	AAC(6')-Ib-cr5	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005115	AAC(6')-Ib-cr5	AAC(6')-Ib-cr5	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3005116	AAC(6')-Ib-cr6	AAC(6')-Ib-cr6	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005116	AAC(6')-Ib-cr6	AAC(6')-Ib-cr6	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3005117	AAC(6')-Ib-cr7	AAC(6')-Ib-cr7	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005117	AAC(6')-Ib-cr7	AAC(6')-Ib-cr7	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3005118	AAC(6')-Ib-cr8	AAC(6')-Ib-cr8	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005118	AAC(6')-Ib-cr8	AAC(6')-Ib-cr8	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3005119	AAC(6')-Ib-cr9	AAC(6')-Ib-cr9	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3005119	AAC(6')-Ib-cr9	AAC(6')-Ib-cr9	AAC(6');AAC(6')-Ib-cr	antibiotic inactivation	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3002592	AAC(6')-Ib-Hangzhou	AAC6_IB_HZ	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002593	AAC(6')-Ib-SK	AAC(6')-Ib-SK	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002591	AAC(6')-Ib-Suzhou	AAC_6_IB_Su	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002549	AAC(6')-Ic	AAC(6')-Ic	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002597	AAC(6')-Ie-APH(2'')-Ia bifunctional protein	AAC6_Ie_APH2_Ia	aminoglycoside bifunctional resistance protein	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002553	AAC(6')-If	AAC(6')-If	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002554	AAC(6')-Ig	AAC(6')-Ig	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002555	AAC(6')-Ih	AAC(6')-Ih	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002556	AAC(6')-Ii	AAC(6')-Ii	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002594	AAC(6')-IIa	AAC(6')-IIa	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002595	AAC(6')-IIb	AAC(6')-IIb	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002596	AAC(6')-IIc	AAC(6')-IIc	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002589	AAC(6')-Iid	AAC(6')-Iid	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002590	AAC(6')-Iih	AAC(6')-Iih	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002557	AAC(6')-Ij	AAC(6')-Ij	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002558	AAC(6')-Ik	AAC(6')-Ik	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004635	AAC(6')-Il	AAC(6')-Il	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004629	AAC(6')-Im	AAC(6')-Im	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002559	AAC(6')-Ip	AAC(6')-Ip	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002560	AAC(6')-Iq	AAC(6')-Iq	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002561	AAC(6')-Ir	AAC(6')-Ir	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002562	AAC(6')-Is	AAC(6')-Is	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002563	AAC(6')-Isa	AAC(6')-Isa	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002564	AAC(6')-It	AAC(6')-It	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002565	AAC(6')-Iu	AAC(6')-Iu	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002566	AAC(6')-Iv	AAC(6')-Iv	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002567	AAC(6')-Iw	AAC(6')-Iw	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002568	AAC(6')-Ix	AAC(6')-Ix	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002569	AAC(6')-Iy	AAC(6')-Iy	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002570	AAC(6')-Iz	AAC(6')-Iz	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002628	aad(6)	aad(6)	ANT(6)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002601	aadA	aadA	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004692	aadA10	aadA10	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002611	aadA11	aadA11	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002612	aadA12	aadA12	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002613	aadA13	aadA13	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002614	aadA14	aadA14	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002615	aadA15	aadA15	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002616	aadA16	aadA16	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002617	aadA17	aadA17	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002602	aadA2	aadA2	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002618	aadA21	aadA21	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002619	aadA22	aadA22	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002620	aadA23	aadA23	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002621	aadA24	aadA24	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3003197	aadA25	aadA25	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004682	aadA27	aadA27	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002603	aadA3	aadA3	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002604	aadA4	aadA4	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002605	aadA5	aadA5	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002606	aadA6	aadA6	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002622	aadA6/aadA10	aadA6/aadA10	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002607	aadA7	aadA7	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002608	aadA8	aadA8	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004704	aadA8b	aadA8b	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002609	aadA9	aadA9	ANT(3'')	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3002627	aadK	aadK	ANT(6)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004683	aadS	aadS	ANT(6)	antibiotic inactivation	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3007669	aadT	aadT	major facilitator superfamily (MFS) antibiotic efflux pump	antibiotic efflux	disinfecting agents and antiseptics	disinfecting agents and antiseptics
ARO:3007669	aadT	aadT	major facilitator superfamily (MFS) antibiotic efflux pump	antibiotic efflux	macrolide antibiotic	macrolide antibiotic
ARO:3007669	aadT	aadT	major facilitator superfamily (MFS) antibiotic efflux pump	antibiotic efflux	tetracycline antibiotic	tetracycline antibiotic
ARO:3006863	AAK-1	AAK-1	AAK beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003942	abcA	abcA	ATP-binding cassette (ABC) antibiotic efflux pump	antibiotic efflux	cephalosporin	cephalosporin
ARO:3003942	abcA	abcA	ATP-binding cassette (ABC) antibiotic efflux pump	antibiotic efflux	moenomycin antibiotic	moenomycin antibiotic
ARO:3003942	abcA	abcA	ATP-binding cassette (ABC) antibiotic efflux pump	antibiotic efflux	penicillin beta-lactam	penicillin antibiotic
ARO:3003942	abcA	abcA	ATP-binding cassette (ABC) antibiotic efflux pump	antibiotic efflux	peptide antibiotic	peptide antibiotic
ARO:3000753	abeM	abeM	multidrug and toxic compound extrusion (MATE) transporter	antibiotic efflux	disinfecting agents and antiseptics	disinfecting agents and antiseptics
ARO:3000753	abeM	abeM	multidrug and toxic compound extrusion (MATE) transporter	antibiotic efflux	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3000768	abeS	abeS	small multidrug resistance (SMR) antibiotic efflux pump	antibiotic efflux	aminocoumarin antibiotic	aminocoumarin antibiotic
ARO:3000768	abeS	abeS	small multidrug resistance (SMR) antibiotic efflux pump	antibiotic efflux	macrolide antibiotic	macrolide antibiotic
ARO:3001815	ACC-1	ACC-1	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001815	ACC-1	ACC-1	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3001815	ACC-1	ACC-1	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3006228	ACC-1a	ACC-1a	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3006228	ACC-1a	ACC-1a	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3006228	ACC-1a	ACC-1a	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3006229	ACC-1b	ACC-1b	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3006229	ACC-1b	ACC-1b	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3006229	ACC-1b	ACC-1b	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3006230	ACC-1c	ACC-1c	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3006230	ACC-1c	ACC-1c	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3006230	ACC-1c	ACC-1c	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3006231	ACC-1d	ACC-1d	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3006231	ACC-1d	ACC-1d	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3006231	ACC-1d	ACC-1d	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001816	ACC-2	ACC-2	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001816	ACC-2	ACC-2	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3001816	ACC-2	ACC-2	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001817	ACC-3	ACC-3	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001817	ACC-3	ACC-3	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3001817	ACC-3	ACC-3	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001818	ACC-4	ACC-4	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001818	ACC-4	ACC-4	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3001818	ACC-4	ACC-4	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001819	ACC-5	ACC-5	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3001819	ACC-5	ACC-5	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3001819	ACC-5	ACC-5	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3006232	ACC-7	ACC-7	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3006232	ACC-7	ACC-7	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3006232	ACC-7	ACC-7	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3006233	ACC-8	ACC-8	ACC beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3006233	ACC-8	ACC-8	ACC beta-lactamase	antibiotic inactivation	monobactam	monobactam
ARO:3006233	ACC-8	ACC-8	ACC beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3004359	ACI-1	ACI-1	ACI beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3004359	ACI-1	ACI-1	ACI beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3004573	Acinetobacter baumannii AbaF	Abau_AbaF	major facilitator superfamily (MFS) antibiotic efflux pump	antibiotic efflux	phosphonic acid antibiotic	phosphonic acid antibiotic
ARO:3004574	Acinetobacter baumannii AbaQ	Abau_AbaQ	major facilitator superfamily (MFS) antibiotic efflux pump	antibiotic efflux	fluoroquinolone antibiotic	fluoroquinolone antibiotic
ARO:3004578	Acinetobacter baumannii AbuO	Abau_AbuO	resistance-nodulation-cell division (RND) antibiotic efflux pump	antibiotic efflux	aminoglycoside antibiotic	aminoglycoside antibiotic
ARO:3004578	Acinetobacter baumannii AbuO	Abau_AbuO	resistance-nodulation-cell division (RND) antibiotic efflux pump	antibiotic efflux	carbapenem	carbapenem
ARO:3004578	Acinetobacter baumannii AbuO	Abau_AbuO	resistance-nodulation-cell division (RND) antibiotic efflux pump	antibiotic efflux	cephalosporin	cephalosporin
ARO:3004578	Acinetobacter baumannii AbuO	Abau_AbuO	resistance-nodulation-cell division (RND) antibiotic efflux pump	antibiotic efflux	disinfecting agents and antiseptics	disinfecting agents and antiseptics
ARO:3004578	Acinetobacter baumannii AbuO	Abau_AbuO	resistance-nodulation-cell division (RND) antibiotic efflux pump	antibiotic efflux	glycylcycline	glycylcycline
