aro_accession	gene_name	card_short_name	gene_family	resistance_mechanism	drug_class_raw	canonical_class
ARO:3003125	OXA-432	OXA-432	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003125	OXA-432	OXA-432	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003126	OXA-433	OXA-433	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003126	OXA-433	OXA-433	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003162	OXA-435	OXA-435	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003162	OXA-435	OXA-435	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003128	OXA-436	OXA-436	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003128	OXA-436	OXA-436	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003593	OXA-437	OXA-437	OXA beta-lactamase;OXA-24-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003593	OXA-437	OXA-437	OXA beta-lactamase;OXA-24-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003594	OXA-438	OXA-438	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003594	OXA-438	OXA-438	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003595	OXA-439	OXA-439	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003595	OXA-439	OXA-439	OXA beta-lactamase;OXA-48-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003596	OXA-440	OXA-440	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003596	OXA-440	OXA-440	OXA beta-lactamase;OXA-23-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003597	OXA-441	OXA-441	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003597	OXA-441	OXA-441	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003598	OXA-442	OXA-442	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003598	OXA-442	OXA-442	OXA beta-lactamase;OXA-51-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003599	OXA-443	OXA-443	OXA beta-lactamase;OXA-22-like beta-lactamase	antibiotic inactivation	cephalosporin	cephalosporin
ARO:3003599	OXA-443	OXA-443	OXA beta-lactamase;OXA-22-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003600	OXA-444	OXA-444	OXA beta-lactamase;OXA-60-like beta-lactamase	antibiotic inactivation	carbapenem	carbapenem
ARO:3003600	OXA-444	OXA-444	OXA beta-lactamase;OXA-60-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003602	OXA-446	OXA-446	OXA beta-lactamase;OXA-184-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003603	OXA-447	OXA-447	OXA beta-lactamase;OXA-184-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003604	OXA-448	OXA-448	OXA beta-lactamase;OXA-184-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003605	OXA-449	OXA-449	OXA beta-lactamase;OXA-184-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3001794	OXA-45	OXA-45	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003606	OXA-450	OXA-450	OXA beta-lactamase;OXA-61-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
ARO:3003607	OXA-451	OXA-451	OXA beta-lactamase;OXA-61-like beta-lactamase	antibiotic inactivation	penicillin beta-lactam	penicillin antibiotic
