gene_name	accession	element_type	ncbi_class_raw	ncbi_subclass_raw	canonical_class_token	canonical_drug_token
tet(A)	WP_063855983.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(A)	WP_012579085.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_031942563.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_001089072.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_032490133.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_001089068.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_002244796.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_014386815.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_063856066.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_010446567.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_063856067.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_063856068.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_063964002.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_012881330.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_063856070.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(B)	WP_001089064.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_010891057.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_000841448.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_010981361.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_001297013.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_063856071.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_011076165.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_063856072.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(C)	WP_000841446.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(D)	WP_063856073.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(D)	WP_063856074.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(D)	WP_063856075.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(D)	WP_001039466.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(E)	WP_063856076.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(E)	WP_032490168.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(E)	WP_011899270.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(G)	WP_032489471.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(G)	WP_032488557.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(G)	WP_063856077.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(G)	WP_001257840.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(H)	WP_032490787.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(H)	WP_006248867.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(H)	WP_063856078.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(H)	WP_012209823.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(H)	WP_015589629.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(J)	WP_063856079.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(J)	WP_004245621.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(K)	WP_000492283.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(K)	WP_000492284.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_063856080.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_063856081.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_001574277.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_003242953.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_032488409.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_002294500.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_012218461.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_012290101.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_012477450.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(L)	WP_015060376.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856107.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_004632336.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691749.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856108.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856109.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856110.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691729.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856111.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856112.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856113.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856114.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856115.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691736.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_011117014.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856390.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856391.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856392.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_063856393.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
tet(M)	WP_000691743.1	AMR	TETRACYCLINE	TETRACYCLINE	tetracycline	tetracycline
