canonical_drug	drug_aro_accession	canonical_class	class_aro_accession	source
cefixime	ARO:3000646	cephalosporin	ARO:0000032	aro_obo
cefmenoxime	ARO:3009118	cephalosporin	ARO:0000032	aro_obo
cefmetazole	ARO:3004001	cephalosporin	ARO:0000032	aro_obo
cefminox	ARO:3009116	cephalosporin	ARO:0000032	aro_obo
cefodizime	ARO:3009119	cephalosporin	ARO:0000032	aro_obo
cefonicid	ARO:3004002	cephalosporin	ARO:0000032	aro_obo
cefoperazone	ARO:3004003	cephalosporin	ARO:0000032	aro_obo
ceforanide	ARO:3009115	cephalosporin	ARO:0000032	aro_obo
cefotaxime	ARO:3000645	cephalosporin	ARO:0000032	aro_obo
cefotetan	ARO:3004004	cephalosporin	ARO:0000032	aro_obo
cefotiam	ARO:3000643	cephalosporin	ARO:0000032	aro_obo
cefovecin	ARO:3007458	cephalosporin	ARO:0000032	aro_obo
cefoxitin	ARO:0000008	cephalosporin	ARO:0000032	aro_obo
cefozopran	ARO:3009122	cephalosporin	ARO:0000032	aro_obo
cefpiramide	ARO:3009120	cephalosporin	ARO:0000032	aro_obo
cefpirome	ARO:3004726	cephalosporin	ARO:0000032	aro_obo
cefpodoxime	ARO:3000647	cephalosporin	ARO:0000032	aro_obo
cefprozil	ARO:3004005	cephalosporin	ARO:0000032	aro_obo
cefquinome	ARO:3007571	cephalosporin	ARO:0000032	aro_obo
cefradine	ARO:3004009	cephalosporin	ARO:0000032	aro_obo
cefroxadine	ARO:3009113	cephalosporin	ARO:0000032	aro_obo
cefsulodin	ARO:3004727	cephalosporin	ARO:0000032	aro_obo
ceftaroline	ARO:3000651	cephalosporin	ARO:0000032	aro_obo
ceftazidime	ARO:0000060	cephalosporin	ARO:0000032	aro_obo
cefteram	ARO:3009121	cephalosporin	ARO:0000032	aro_obo
ceftezole	ARO:3009114	cephalosporin	ARO:0000032	aro_obo
ceftibuten	ARO:3000648	cephalosporin	ARO:0000032	aro_obo
ceftiofur	ARO:3004006	cephalosporin	ARO:0000032	aro_obo
ceftizoxime	ARO:3004007	cephalosporin	ARO:0000032	aro_obo
ceftobiprole	ARO:0000061	cephalosporin	ARO:0000032	aro_obo
ceftolozane	ARO:3003927	cephalosporin	ARO:0000032	aro_obo
ceftriaxone	ARO:0000062	cephalosporin	ARO:0000032	aro_obo
cefuroxime	ARO:0000063	cephalosporin	ARO:0000032	aro_obo
cephaloridine	ARO:3004129	cephalosporin	ARO:0000032	aro_obo
cephapirin	ARO:3004008	cephalosporin	ARO:0000032	aro_obo
faropenem	ARO:3003707	cephalosporin	ARO:0000032	aro_obo
first-generation cephalosporin	ARO:3009105	cephalosporin	ARO:0000032	aro_obo
flomoxef	ARO:3004014	cephalosporin	ARO:0000032	aro_obo
fourth-generation cephalosporin	ARO:3009108	cephalosporin	ARO:0000032	aro_obo
loracarbef	ARO:3004016	cephalosporin	ARO:0000032	aro_obo
moxalactam	ARO:3004017	cephalosporin	ARO:0000032	aro_obo
other cephalosporins and penems	ARO:3009109	cephalosporin	ARO:0000032	aro_obo
second-generation cephalosporin	ARO:3009106	cephalosporin	ARO:0000032	aro_obo
third-generation cephalosporin	ARO:3009107	cephalosporin	ARO:0000032	aro_obo
cycloserine	ARO:3000760	cycloserine-like antibiotic	ARO:3007154	aro_obo
brodimoprim	ARO:3000269	diaminopyrimidine antibiotic	ARO:3000171	aro_obo
iclaprim	ARO:3000337	diaminopyrimidine antibiotic	ARO:3000171	aro_obo
