canonical_drug	canonical_class	aro_accession	category	source
elfamycin	elfamycin antibiotic	ARO:3001219	antibiotic	curated
enacyloxin iia	elfamycin antibiotic	ARO:3001219	antibiotic	curated
factumycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
ganefromycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
ge2270a	elfamycin antibiotic	ARO:3001219	antibiotic	curated
ge37468	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
heneicomycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
kirromycin	elfamycin antibiotic	ARO:3001219	antibiotic	curated
kirromycin-like antibiotics	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
kirrothricin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
l-681,217	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
lff571	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin a	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin b	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin c	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin d	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin e	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin f	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin g	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
phenelfamycin h	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
pulvomycin	elfamycin antibiotic	ARO:3001219	antibiotic	curated
sb22484	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
uk-69,753	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
unphenelfamycin	elfamycin antibiotic	ARO:3001219	antibiotic	aro_obo
ethambutol	ethambutol		antibiotic	resfinder
balofloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
cinoxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
ciprofloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
clinafloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
clofazimine	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
delafloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
enoxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
enrofloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	curated
finafloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
fleroxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
flumequine	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
gatifloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
gemifloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
grepafloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
lascufloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
levofloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	curated
levonadifloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
lomefloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
marbofloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
moxifloxacin	fluoroquinolone antibiotic	ARO:0000001	antibiotic	curated
nalidixic acid	fluoroquinolone antibiotic	ARO:0000001	antibiotic	aro_obo
